Status,State,Name,Hospital Provider Number,Street Address,Suburb,Postcode,Second-tier Eligible (Yes/No),Second-tier Expiry Date,"Second-tier Category",Circular,"The Commonwealth Minister for Health, or delegate, has declared the facility to be a neo-natal facility, consistent with Section 3(2) of the Health Insurance Act 1973. (This column is not complete and is still being populated)"
PUBLIC,NSW,BROKEN HILL BASE HOSPITAL,0010830K,176 THOMAS STREET,BROKEN HILL,2880,NO,,,,
PUBLIC,WA,BROOME HOSPITAL,0070110L,ROBINSON STREET,BROOME,6725,NO,,,,
PRIVATE,WA,BROOME RENAL HEALTH CENTRE,0075780A,LOT 640 ANNE STREET,BROOME,6725,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 66/25,
PUBLIC,WA,BRUCE ROCK MEMORIAL HOSPITAL,0070120K,35 DUNSTALL STREET,BRUCE ROCK,6418,NO,,,,
PRIVATE,VIC,BRUNSWICK PRIVATE HOSPITAL,0035970T,82 MORELAND ROAD,BRUNSWICK,3056,YES,15-06-28,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)",PHI 35/21; 18/23; 42/25,
PRIVATE,QLD,BUDERIM GASTROENTEROLOGY CENTRE,0057110K,"SUITE 5, 102 WISES ROAD",MAROOCHYDORE,4558,YES,09-12-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 36/20; 68/22; 61/23; 84/23,
PRIVATE,QLD,BUDERIM PRIVATE HOSPITAL,0055740X,12 ELSA WILSON DRIVE,BUDERIM,4556,YES,08-08-28,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 43/19; 83/21; 75/24; 58/25,
PUBLIC,NSW,BULAHDELAH COMMUNITY HOSPITAL,0010840J,RICHMOND STREET,BULAHDELAH,2423,NO,,,,
PUBLIC,NSW,BULLI HOSPITAL,0010850H,29 HOSPITAL ROAD,BULLI,2516,NO,,,PHI 55/19,
PRIVATE,WA,BUNBURY DAY HOSPITAL,0077130X,140 SPENCER ST,BUNBURY,6230,YES,26-10-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 19/20; 25/20; 63/22; 59/23,
PUBLIC,WA,BUNBURY HOSPITAL,0071120B,CNR ROBERTSON DRIVE & BUSSELL HIGHWAY,BUNBURY,6230,NO,,,,
PUBLIC,QLD,BUNDABERG HOSPITAL,0050210X,271 -275 BOURBONG STREET,BUNDABERG,4670,NO,,,PHI 63/19,
PRIVATE,QLD,BUNDABERG PRIVATE DAY HOSPITAL,0057530L,51 COMMERCIAL STREET,KENSINGTON,4670,YES,04-01-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 26/19; 43/19; 51/20; 80/22; 71/23,
PUBLIC,VIC,BUNDOORA EXTENDED CARE CENTRE,0031760L,1231 PLENTY ROAD,BUNDOORA,3083,NO,,,,
PRIVATE,SA,BURNSIDE DAY SURGERY,0067340B,"SUITE 1, 535-537 GLYNBURN ROAD",HAZELWOOD PARK,5066,YES,29-07-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 87/23; 05/24; 65/25; 74/25,
PRIVATE,SA,BURNSIDE HOSPITAL STEPNEY,0065880L,32 PAYNEHAM ROAD,STEPNEY,5069,YES,29-12-27,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 29/19; 51/20; 49/21; 24/24; 75/24,
PRIVATE,SA,BURNSIDE HOSPITAL TOORAK GARDENS,0065050H,120 KENSINGTON ROAD,TOORAK GARDENS,5065,YES,06-10-25,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 32/19; 54/22; 22/24,
PUBLIC,SA,BURRA HOSPITAL,0060120F,46 COMMERCIAL STREET,BURRA,5417,NO,,,,
PUBLIC,WA,BUSSELTON HOSPITAL,0070150F,MILL ROAD,BUSSELTON,6280,NO,,,,
PUBLIC,NSW,BYRON CENTRAL HOSPITAL,0012900X,54 EWINGSDALE ROAD,EWINGSDALE,2481,NO,,,,
PUBLIC,QLD,CABOOLTURE HOSPITAL,0051830F,20 DUNCAN STREET,CABOOLTURE,4510,NO,,,,
PRIVATE,QLD,CABOOLTURE PRIVATE HOSPITAL,0055900X,MCKEAN STREET,CABOOLTURE,4510,YES,10-04-28,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 33/20; 30/22; 30/25,
PRIVATE,NSW,CABRAMATTA DAY SURGERY,0027650J,2A CHURCH STREET,CABRAMATTA,2166,YES,14-07-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 67/22; 77/22; 41/24,
PRIVATE,VIC,CABRINI BRIGHTON,0036620H,243 NEW STREET,BRIGHTON,3186,YES,27-08-28,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 38/20; 60/21; 50/24; 58/25,
PRIVATE,VIC,CABRINI MALVERN,0035790X,"181-183 WATTLETREE ROAD (MAIN CAMPUS) & 2-6 HOPETOUN ROAD, ELSTERNWICK 3185 (ELSTERNWICK CAMPUS)",MALVERN,3144,YES,27-08-28,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 03/20; 46/20; 59/21; 63/21; 50/24; 58/25,
PUBLIC,QLD,CAIRNS BASE HOSPITAL,0050230T,165 THE ESPLANADE,CAIRNS,4870,NO,,,PHI 77/19,
PRIVATE,QLD,CAIRNS PRIVATE HOSPITAL,0055220Y,1 UPWARD STREET,CAIRNS,4870,YES,13-12-26,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 33/20; 63/22; 79/23,
PUBLIC,QLD,CALOUNDRA HOSPITAL,0051500A,WEST TERRACE,CALOUNDRA,4551,NO,,,,
PRIVATE,TAS,CALVARY - LENAH VALLEY HOSPITAL,0085010F,49 AUGUSTA ROAD,LENAH VALLEY,7008,YES,16-12-25,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 29/19; 11/22; 94/24,
PRIVATE,TAS,CALVARY - ST JOHN'S HOSPITAL,0085010F,30 CASCADE ROAD,SOUTH HOBART,7004,YES,16-12-25,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 29/19; 11/22; 86/24,
PRIVATE,TAS,CALVARY - ST LUKE'S HOSPITAL,0085080L,24 LYTTLETON STREET,LAUNCESTON,7250,YES,26-01-26,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 29/19; 02/22; 82/24,
PRIVATE,TAS,CALVARY - ST VINCENT'S HOSPITAL,0085080L,5 FREDERICK STREET,LAUNCESTON,7250,YES,26-01-26,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 29/19; 02/22; 82/24,
PRIVATE,SA,CALVARY ADELAIDE HOSPITAL,0065360T & 0065070B,120 ANGAS STREET,ADELAIDE,5000,YES,16-10-25,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 84/19; 19/20; 11/22; 15/25,
PRIVATE,ACT,CALVARY BRUCE PRIVATE HOSPITAL,0015000J,30 MARY POTTER CIRCUIT,BRUCE,2617,YES,09-09-27,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 29/19; 63/20; 16/22; 02/23; 53/23; 60/24,
PRIVATE,SA,CALVARY CENTRAL DISTRICTS HOSPITAL,0065810F,25-37 JARVIS ROAD,ELIZABETH VALE,5112,YES,25-12-25,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 29/19; 08/22; 52/24; 94/24,
PRIVATE,SA,CALVARY CONNERY CENTRE,0065810F,46 JOHN RICE AVENUE,ELIZABETH VALE,5112,NO,01-03-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 52/24; 24/25,
PUBLIC,VIC,CALVARY HEALTH CARE BETHLEHEM,0031480Y,476 KOOYONG ROAD,CAULFIELD,3162,NO,,,PHI 56/18; 04/23,
PUBLIC,NSW,CALVARY HEALTH CARE SYDNEY LTD,0012520J,91-101 ROCKY POINT ROAD,KOGARAH,2217,NO,,,,
PRIVATE,ACT,CALVARY JOHN JAMES HOSPITAL,0091010Y,173 STRICKLAND CRESCENT,DEAKIN,2600,YES,17-04-28,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 29/19; 15/21; 89/21; 23/25,
PUBLIC,NSW,CALVARY MATER NEWCASTLE,0011870W,20 EDITH STREET,WARATAH,2298,NO,,,PHI 30/08,
PRIVATE,SA,CALVARY NORTH ADELAIDE HOSPITAL,0065060F,89 STRANGWAYS TERRACE,NORTH ADELAIDE,5006,YES,14-10-28,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 26/19; 07/22; 92/24; 72/25,
PRIVATE,NSW,CALVARY RIVERINA HOSPITAL,0016860A,HARDY AVENUE,WAGGA WAGGA,2650,YES,21-12-27,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 30/19; 76/20; 16/22; 86/24,
PRIVATE,NSW,CALVARY RIVERINA SURGICENTRE,0988261T,"329, 331, 333 EDWARD STREET",WAGGA WAGGA,2650,YES,21-12-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 76/20; 16/22; 86/24,
PRIVATE,VIC,CAMBERWELL DAY SURGERY,0656581F,27 DENMARK HILL ROAD,HAWTHORN EAST,3123,YES,01-04-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 15/20; 21/21; 32/23; PHI 18/24,
PRIVATE,WA,CAMBRIDGE DAY SURGERY,0075650K,"SUITE 12, 178 CAMBRIDGE STREET",WEMBLEY,6014,NO,03-07-24,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 46/20; 63/23; 69/23; 50/24; 56/24,
PUBLIC,NSW,CAMDEN HOSPITAL,0010870B,65 MENANGLE ROAD,CAMDEN,2570,NO,,,,
PRIVATE,NSW,CAMDEN SURGICAL HOSPITAL,0017690W,35 HILDER STREET,ELDERSLIE,2570,YES,20-06-27,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 05/23; 18/23; 75/24; 24/25,
PUBLIC,TAS,CAMPBELL TOWN HEALTH AND COMMUNITY SERVICE,0080100Y,70 HIGH STREET,CAMPBELL TOWN,7210,NO,,,,
PUBLIC,NSW,CAMPBELLTOWN HOSPITAL,0012750W,THERRY ROAD,CAMPBELLTOWN,2560,NO,,,,
PRIVATE,NSW,CAMPBELLTOWN PRIVATE HOSPITAL,0017290K,42 PARKSIDE CRESCENT,CAMPBELLTOWN,2560,YES,12-01-26,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 32/20; 89/21; 75/24,
PRIVATE,NSW,CAMPSIE DAY SURGERY,0027390L,56 CAMPSIE STREET,CAMPSIE,2194,YES,18-02-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 46/19; 07/22; 94/24,
PRIVATE,ACT,CANBERRA IMAGING GROUP,0097030L,173 STRICKLAND CRESCENT,DEAKIN,2600,YES,29-10-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 52/19; 80/21; 69/24; 74/25,
PRIVATE,ACT,CANBERRA MICROSURGERY,0097050J,16 WILBOW STREET,PHILLIP,2606,YES,27-10-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 21/19; 51/20; 49/21; 75/24,
PRIVATE,ACT,CANBERRA PRIVATE HOSPITAL,0095130B,"EQUINOX BUSINESS PARK, BUILDING 2 LEVEL 2/3, 70 KENT STREET",DEAKIN,2600,YES,26-05-28,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 47/19; 27/21; 42/21; 44/22; 42/25,
PRIVATE,ACT,CANBERRA REGION NEUROLOGY AND PAIN CENTRE,0097070F,"UNITS 2-4 CORINNA CHAMBERS, 36-38 CORINNA STREET",PHILLIP,2606,YES,22-07-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 67/21; 89/21; 48/23; 41/24; 58/25,
PRIVATE,ACT,CANBERRA SURGICENTRE,0988281K,"SUITE 2, SCALA HOUSE TORRENS, 11 TORRENS STREET",BRADDON,2612,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,NSW,CANCER CARE GRIFFITH ,0017710H,115-119 BINYA STREET,GRIFFITH,2680,NO,17-02-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 54/23; 05/24; 23/25,
PRIVATE,NSW,CANCER CARE MACARTHUR,0017740A,218 QUEEN STREET,CAMPBELLTOWN,2560,YES,14-12-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 35/24; 48/24,
PRIVATE,QLD,CANCER CARE NOOSA,0056320J,36-40 HOFMANN DRIVE,NOOSAVILLE,4566,YES,17-08-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 02/25; 11/25,
PRIVATE,NSW,CANCER CARE NORTHERN BEACHES,0017770W,"SUITE 4, 49 FRENCHS FOREST ROAD EAST",FRENCHS FOREST,2086,YES,09-06-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 22/25; 30/25,
PRIVATE,NSW,CANCER CARE WOLLONGONG,0936951X,410 CROWN STREET,WOLLONGONG,2500,YES,18-02-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 33/20; 53/23; 84/23; 05/24,
PRIVATE,WA,CANNINGTON DIALYSIS CLINIC,0077240L,13-15 LEILA STREET,CANNINGTON,6107,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,QLD,CANOSSA PRIVATE HOSPITAL,0055580X,169 SEVENTEEN MILE ROCKS ROAD,OXLEY,4075,NO,10-06-25,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 33/21; 50/24; 82/24; 50/25,
PUBLIC,NSW,CANOWINDRA SOLDIERS MEMORIAL HOSPITAL,0010890Y,BROWNS AVENUE,CANOWINDRA,2804,NO,,,,
PUBLIC,NSW,CANTERBURY HOSPITAL,0010090J,575 CANTERBURY ROAD,CAMPSIE,2194,NO,,,,
PUBLIC,QLD,CAPRICORN COAST HOSPITAL AND HEALTH SERVICE,0051390L,8 HOSKYN DRIVE,YEPPOON,4703,NO,,,,
PUBLIC,VIC,CARITAS CHRISTI HOSPICE,0030210H,104 STUDLEY PARK ROAD,KEW,3101,NO,,,,
PUBLIC,WA,CARNARVON HOSPITAL,0070160B,CLEAVER STREET,CARNARVON,6701,NO,,,,
PRIVATE,VIC,CASEY DAY HOSPITAL,0044040F,1A/30-32 VERDUN DRIVE,NARRE WARREN,3805,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 18/23,
PUBLIC,VIC,CASEY EARLY PARENTING CENTRE,0032230J,114 NEWGRANGE BOULEVARD,CLYDE NORTH,3978,NO,,,PHI 87/23,
PUBLIC,VIC,CASEY HOSPITAL,0031960F,62-70 KANGAN DRIVE,BERWICK,3806,NO,,,PHI 78/23,
PUBLIC,NSW,CASINO AND DISTRICT MEMORIAL HOSPITAL,0010920J,41 HOTHAM STREET,CASINO,2470,NO,,,,
PUBLIC,VIC,CASTERTON MEMORIAL HOSPITAL,0030200J,63-69 RUSSELL STREET,CASTERTON,3311,NO,,,,
PRIVATE,NSW,CASTLECRAG PRIVATE HOSPITAL,0015200A,150 EDINBURGH ROAD,CASTLECRAG,2068,YES,10-05-27,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 38/20; 32/23; 23/24,
PUBLIC,VIC,CASTLEMAINE HEALTH,0031780J,142 CORNISH STREET,CASTLEMAINE,3450,NO,,,,
PUBLIC,VIC,CAULFIELD HOSPITAL,0031570X,260-294 KOOYONG ROAD,CAULFIELD,3162,NO,,,,
PUBLIC,SA,CEDUNA HOSPITAL,0060630F,3 EYRE HIGHWAY,CEDUNA,5690,NO,,,,
PRIVATE,NSW,CENTRAL COAST DAY HOSPITAL - ERINA,0017370K,"SUITE 1, 2 ILYA AVENUE",ERINA,2250,YES,26-07-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 51/20; 39/21; 18/23; 56/24,
PRIVATE,SA,CENTRAL DAY SURGERY,0067220K,235 GREENHILL ROAD,DULWICH,5065,YES,10-09-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 26/19; 51/20; 14/23; 50/24,
PUBLIC,VIC,CENTRAL GIPPSLAND HEALTH SERVICE (MAFFRA),0034620A,48 KENT STREET,MAFFRA,3860,NO,,,,
PUBLIC,VIC,CENTRAL GIPPSLAND HEALTH SERVICE (SALE),0030480H,155 GUTHRIDGE PARADE,SALE,3850,NO,,,,
PUBLIC,VIC,CENTRAL HIGHLANDS RURAL HEALTH - CRESWICK,0030300F,1 NAPIER STREET,CRESWICK,3363,NO,,,PHI 82/19,
PUBLIC,VIC,CENTRAL HIGHLANDS RURAL HEALTH - DAYLESFORD,0030320A,13 HOSPITAL STREET,DAYLESFORD,3460,NO,,,PHI 82/19,
PUBLIC,VIC,CENTRAL HIGHLANDS RURAL HEALTH - KYNETON,0030600T,7-25 CAROLINE CHISHOLM DRIVE,KYNETON,3444,NO,,,PHI 82/19,
PRIVATE,NSW,CENTRAL SYDNEY PRIVATE HOSPITAL,0999801A,"LEVEL 5, 401 SUSSEX STREET",SYDNEY,2000,YES,07-12-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 35/21; 80/22,
PUBLIC,SA,CENTRAL YORKE PENINSULA HOSPITAL (MAITLAND),0060310Y,65 ROBERT STREET,MAITLAND,5573,NO,,,PHI 74/25,
PRIVATE,NSW,CENTRE FOR DIGESTIVE DISEASES,0656741F,"LEVEL 1, 229 GREAT NORTH ROAD",FIVE DOCK,2046,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PUBLIC,NSW,CESSNOCK DISTRICT HOSPITAL,0010940F,24 VIEW STREET,CESSNOCK,2325,NO,,,,
PRIVATE,NSW,CHARLESTOWN PRIVATE HOSPITAL,0017400Y,"LEVEL 3, 250 PACIFIC HWY",CHARLESTOWN,2290,YES,11-05-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 22/20; 18/23; 23/24,
PUBLIC,QLD,CHARLEVILLE HOSPITAL,0050250K,72 KING STREET,CHARLEVILLE,4470,NO,,,,
PUBLIC,QLD,CHARTERS TOWERS HOSPITAL,0050260J,137-139 GILL STREET,CHARTERS TOWERS,4820,NO,,,,
PRIVATE,NSW,CHATSWOOD DAY SURGERY,0026880B,"LEVELS 3 & 4, 270 VICTORIA STREET",CHATSWOOD,2067,YES,03-06-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 38/20; 39/20; 53/23; 34/24,
PRIVATE,NSW,CHATSWOOD PRIVATE HOSPITAL,0017520L,SUITE 1/38B ALBERT AVENUE,CHATSWOOD,2067,YES,26-07-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 26/19; 29/19; 46/20; 39/21; 60/24,
PRIVATE,VIC,CHELSEA HEIGHTS DAY SURGERY AND ENDOSCOPY,0044090W,93 WELLS ROAD,CHELSEA HEIGHTS,3196,YES,21-07-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 63/19; 50/22; 61/23,
PUBLIC,QLD,CHERBOURG HOSPITAL,0050270H,FISHER STREET,CHERBOURG,4605,NO,,,,
PRIVATE,QLD,CHERMSIDE DAY HOSPITAL,0057330Y,"SUITE 9, CHERMSIDE MEDICAL COMPLEX, 956 GYMPIE ROAD",CHERMSIDE,4032,YES,04-11-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 63/20; 72/21; 82/24,
PRIVATE,QLD,CHERMSIDE DIALYSIS CLINIC,0057290L,671 GYMPIE ROAD,CHERMSIDE,4032,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,VIC,CHESTERVILLE DAY HOSPITAL,0656851Y,28 CHESTERVILLE ROAD,CHELTENHAM,3192,YES,29-09-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 55/19; 80/21; 59/23,
PUBLIC,QLD,CHILDERS MULTIPURPOSE HEALTH SERVICE,0050280F,44 BROADHURST STREET,CHILDERS,4660,NO,,,PHI 63/19,
PUBLIC,QLD,CHINCHILLA HOSPITAL,0050300W,59 SLESSAR STREET,CHINCHILLA,4413,NO,,,,
PRIVATE,NSW,CHRIS O'BRIEN LIFEHOUSE,0027350Y,119-143 MISSENDEN ROAD,CAMPERDOWN,2050,YES,16-10-26,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 38/20; 06/23; 84/23,
PRIVATE,NSW,CITY WEST SPECIALIST DAY HOSPITAL,0894301F,30 MONS ROAD,WESTMEAD,2145,NO,30-07-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 32/21; 50/24; 65/25,
PUBLIC,SA,CLARE HOSPITAL,0060130B,47 FARRELL FLAT ROAD,CLARE,5453,NO,,,,
PUBLIC,QLD,CLERMONT MULTI-PURPOSE HEALTH SERVICE,0050310T,24 FRANCIS STREET,CLERMONT,4721,NO,,,PHI 63/19,
PRIVATE,QLD,CLIFTON CO-OP HOSPITAL LTD,0055230X,24 NORMAN STREET,CLIFTON,4361,NO,,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 59/19; 02/23,
PUBLIC,QLD,CLONCURRY MULTI-PURPOSE HEALTH SERVICE,0050320L,1 MUSGRAVE STREET,CLONCURRY,4824,NO,,,PHI 63/19,
PUBLIC,NSW,COBAR DISTRICT HOSPITAL,0010950B,LERIDA ROAD,COBAR,2835,NO,,,,
PUBLIC,VIC,COBRAM DISTRICT HEALTH,0030250Y,24-32 BROADWAY STREET,COBRAM,3644,NO,,,,
PRIVATE,VIC,COBURG ENDOSCOPY CENTRE,0043640K,15 MUNRO STREET,COBURG,3058,NO,19-08-24,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 27/21; 60/24,
PRIVATE,NSW,COFFS DAY HOSPITAL,0027610W,201 ROSE AVENUE,COFFS HARBOUR,2450,YES,04-11-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 70/21; 73/21; 86/24; 72/25,
PUBLIC,NSW,COFFS HARBOUR BASE HOSPITAL,0010960A,345 PACIFIC HIGHWAY,COFFS HARBOUR,2450,NO,,,,
PUBLIC,VIC,COHUNA DISTRICT HOSPITAL,0030260X,144-158 KING GEORGE STREET,COHUNA,3568,NO,,,,
PUBLIC,VIC,COLAC AREA HEALTH,0030270W,2-28 CONNOR STREET,COLAC,3250,NO,,,,
PUBLIC,NSW,COLEDALE HOSPITAL,0010970Y,638 LAWRENCE HARGRAVE DRIVE,COLEDALE,2515,NO,,,PHI 55/19,
PUBLIC,NSW,COLLARENEBRI MULTI PURPOSE SERVICE,0010980X,WALGETT STREET,COLLARENEBRI,2833,NO,,,,
PUBLIC,WA,COLLIE DISTRICT HOSPITAL,0070170A,CNR STEERE & DEAKIN STREETS,COLLIE,6225,NO,,,,
PUBLIC,QLD,COLLINSVILLE MULTI-PURPOSE HEALTH SERVICE,0050340J,81-91 GARRICK STREET,COLLINSVILLE,4804,NO,,,PHI 63/19,
PRIVATE,WA,CONCEPT DAY HOSPITAL,0075630T,218 NICHOLSON ROAD,SUBIACO,6008,YES,29-05-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 47/19; 26/22; 53/23,
PUBLIC,NSW,CONCORD REPATRIATION HOSPITAL,0012720A,2 HOSPITAL ROAD,CONCORD,2139,NO,,,,
PUBLIC,NSW,CONDOBOLIN DISTRICT HOSPITAL,0010990W,MADLINE STREET,CONDOBOLIN,2877,NO,,,,
PUBLIC,NSW,CONDOBOLIN RETIREMENT VILLAGE,0026480X,MADLINE STREET,CONDOBOLIN,2877,NO,,,,
PUBLIC,QLD,COOKTOWN HOSPITAL,0050350H,48 HOPE STREET,COOKTOWN,4895,NO,,,,
PUBLIC,NSW,COOLAH MULTI PURPOSE SERVICE,0011000X,111-135 MARTIN STREET,COOLAH,2843,NO,,,,
PUBLIC,NSW,COOLAMON-GANMAIN MULTI PURPOSE SERVICE HOSPITAL,0011520W,DR BUCHANAN DRIVE,COOLAMON,2701,NO,,,,
PRIVATE,NSW,COOLENBERG DAY SURGERY,0027180A,60 LAKE ROAD,PORT MACQUARIE,2444,YES,25-06-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 28/20; 48/23; 48/24; 60/24,
PUBLIC,NSW,COOMA HOSPITAL & HEALTH SERVICE,0011010W,2 BENT STREET,COOMA,2630,NO,,,,
PUBLIC,NSW,COONABARABRAN DISTRICT HOSPITAL,0011020T,101-103 EDWARDS STREET,COONABARABRAN,2357,NO,,,,
